created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Thu Dec 25 04:16:48 +0000 2014	547969180536811520	0	photo	3236	1725	0	0	0	0	http://t.co/q54ahhFLL5	ALL I WANT FOR 🎅🎄🎁 http://t.co/q54ahhFLL5
Thu Dec 25 04:00:07 +0000 2014	547964983435624448	0	photo	1280	436	0	0	0	0	http://t.co/3htjl2q5HR	This piggy is ready for work. http://t.co/3htjl2q5HR
Thu Dec 25 03:39:02 +0000 2014	547959676696940545	0	photo	3275	1899	0	0	0	0	http://t.co/M4Vdz5vk3T	I HOPE YOURE UNDER THE TREE IN THE MORNING 🎅🎄🎅🎄🎁 http://t.co/M4Vdz5vk3T
Thu Dec 25 03:35:18 +0000 2014	547958736883822592	0	photo	1336	458	0	0	0	0	http://t.co/2KCI2b0YqI	Hi, what can I get for you? http://t.co/2KCI2b0YqI
Thu Dec 25 03:18:01 +0000 2014	547954390418468865	0	photo	1244	410	0	0	0	0	http://t.co/8wX8EcUYZR	Basically my experiences with Santa. http://t.co/8wX8EcUYZR
Thu Dec 25 03:15:08 +0000 2014	547953663097196544	0	photo	1550	554	0	0	0	0	http://t.co/BzbXmJHsW1	baaaaaa-by goats. http://t.co/BzbXmJHsW1
Thu Dec 25 03:11:16 +0000 2014	547952688306978816	0	photo	3663	2667	0	0	0	0	http://t.co/uIZE4Vqpvp	Realizing Santa comes in only a few more hours. http://t.co/uIZE4Vqpvp
Thu Dec 25 03:09:53 +0000 2014	547952340129423360	0	photo	5617	3806	0	0	0	0	http://t.co/Cxj4BSqJIw	Pretty much me. http://t.co/Cxj4BSqJIw
Thu Dec 25 03:00:11 +0000 2014	547949902224175105	0	photo	222	55	0	0	0	0	http://t.co/E4vt7ilht5	5 times an octopus made headlines... yup octopi in the news http://t.co/lRSyFYKtq9||. http://t.co/E4vt7ilht5
Thu Dec 25 02:50:04 +0000 2014	547947355899977729	0	photo	1617	892	0	0	0	0	http://t.co/d6h8Cv6fsL	penguins wearing sweaters http://t.co/d6h8Cv6fsL
Thu Dec 25 02:25:06 +0000 2014	547941071335227392	0	photo	2289	769	0	0	0	0	http://t.co/UtWEfByskh	The luckiest girl in the world taking a bath in puppies. http://t.co/UtWEfByskh
Thu Dec 25 02:15:11 +0000 2014	547938575493636096	BarkPost	0	75	24	0	0	0	0	0	7 incredible and unlikely ways service dogs save humans everyday via @BarkPost https://t.co/os5bBFQ5EL
Thu Dec 25 01:45:07 +0000 2014	547931008193286144	0	photo	1035	227	0	0	0	0	http://t.co/0KpyMwN7PM	Pet camper. http://t.co/0KpyMwN7PM
