retweeted_status|favorite_count	favorite_count	favorited	user|follower_count	created_at	id	user|screen_name	user|statuses_count	user|favourites_count	entities|user_mentions|screen_name	entities|hashtags|text
1636	0	0	0	Wed Dec 10 00:40:05 +0000 2014	542478826174160897	Like_AHoss	1654	926	CuteEmergency	0
1636	0	0	0	Wed Dec 10 00:38:16 +0000 2014	542478370463039489	burdish	973	371	CuteEmergency	0
1636	0	0	0	Wed Dec 10 00:34:53 +0000 2014	542477517027024896	countrysuppers	12240	728	CuteEmergency	0
1636	0	0	0	Wed Dec 10 00:33:23 +0000 2014	542477138541412352	campionsandra	4850	18	CuteEmergency	0
1636	0	0	0	Wed Dec 10 00:30:50 +0000 2014	542476497714704386	pixiedustedwing	34979	10056	CuteEmergency	0
1636	0	0	0	Wed Dec 10 00:30:19 +0000 2014	542476366269415425	Matbell64	7893	1967	CuteEmergency	0
1636	0	0	0	Wed Dec 10 00:18:17 +0000 2014	542473339600900096	RowanElKhayat	30703	3767	CuteEmergency	0
1636	0	0	0	Wed Dec 10 00:04:30 +0000 2014	542469870823407616	NikkieLovesKez	23102	21620	CuteEmergency	0
1636	0	0	0	Tue Dec 09 23:47:03 +0000 2014	542465480137515008	ellensussss	5135	1789	CuteEmergency	0
1636	0	0	0	Tue Dec 09 23:40:36 +0000 2014	542463854282694656	t__z	36612	22687	CuteEmergency	0
1636	0	0	0	Tue Dec 09 23:32:46 +0000 2014	542461883194687490	booonys	7829	2717	CuteEmergency	0
1636	0	0	0	Tue Dec 09 23:29:08 +0000 2014	542460970551881728	OrchardTeaRoom	8395	442	CuteEmergency	0
1636	0	0	0	Tue Dec 09 23:27:53 +0000 2014	542460657707130880	HaleyMarie5814	5269	3381	CuteEmergency	0
1636	0	0	0	Tue Dec 09 23:26:04 +0000 2014	542460197722009602	JRJohnson826	5896	1660	CuteEmergency	0
1636	0	0	0	Tue Dec 09 23:22:45 +0000 2014	542459365618249728	jensencrenshaw	2049	2123	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:56:19 +0000 2014	542452712772628480	DorkyHannahB	20826	11005	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:51:22 +0000 2014	542451467097886720	kG0nzii3	13221	4099	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:51:04 +0000 2014	542451390979637250	cjtusa16	15967	22981	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:48:53 +0000 2014	542450840724729856	jamiecandylegs	7996	3474	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:45:33 +0000 2014	542450003436793857	iceiimonster	17049	345	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:28:41 +0000 2014	542445759019220993	SaraCousineau2	77	187	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:28:28 +0000 2014	542445703453110273	KBeegs18	1583	1425	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:26:29 +0000 2014	542445205719228418	jankensan	4277	17	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:26:09 +0000 2014	542445121090760704	MTibbett	2974	1149	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:20:05 +0000 2014	542443592199847936	DeannePccn	1868	3553	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:15:33 +0000 2014	542442452640989184	_FatGirlsCanRun	3852	1812	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:13:39 +0000 2014	542441975878668288	SHillbrand	1327	2847	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:05:55 +0000 2014	542440027947413504	sammyy_wammyy_	19370	15621	CuteEmergency	0
1636	0	0	0	Tue Dec 09 22:02:04 +0000 2014	542439058748616706	m_whitttty	28650	28481	CuteEmergency	0
1636	0	0	0	Tue Dec 09 21:56:04 +0000 2014	542437547838693376	madison_12345	4049	4921	CuteEmergency	0
1636	0	0	0	Tue Dec 09 21:42:29 +0000 2014	542434131552923652	yarikayumada	169	266	CuteEmergency	0
1636	0	0	0	Tue Dec 09 21:41:47 +0000 2014	542433956302319617	marliethedog	8431	2102	CuteEmergency	0
