created_at	id	entities|user_mentions|screen_name	entities|media|type	favorite_count	retweet_count	retweeted_status|id	retweeted_status|favorite_count	retweeted_status|retweet_count	retweeted_status|created_at	entities|media|url	text
Sun Jun 23 20:02:24 +0000 2013	348893823570681858	fureigh|NYCCampDrupal	0	0	1	347066670998769664	0	1	Tue Jun 18 19:01:57 +0000 2013	0	RT @fureigh: Oh hey, I'm presenting a free #Git training at @NYCCampDrupal on July 12. Get more info and reserve your spot: http://t.co/PK4…
Sun Jun 23 20:00:59 +0000 2013	348893465649741824	ArcTanSusan	0	0	5	348519266838003712	0	5	Sat Jun 22 19:14:03 +0000 2013	0	RT @ArcTanSusan: Don't do SQL injections on other ppl's website, becuz you're breaking the law. Do it on your own software on your own serv…
Sun Jun 23 19:57:36 +0000 2013	348892618228371458	WriteSpeakCode	0	0	5	348524795329134592	0	5	Sat Jun 22 19:36:01 +0000 2013	0	RT @WriteSpeakCode: Slides from @lrigknat's security talk (a must-read!) http://t.co/Iy2XRygzsR #WriteSpeakCode
Sun Jun 23 19:57:10 +0000 2013	348892507511332866	kavbojka|pamasaur	0	0	6	348524170075856898	2	6	Sat Jun 22 19:33:32 +0000 2013	0	RT @kavbojka: Are you telling me the only way to get involved in open source is to do other people's dishes? - F*&amp;% that sez @pamasaur at #…
Sun Jun 23 19:56:52 +0000 2013	348892432689147905	rmillerwebster|pamselle|corey_latislaw|WriteSpeakCode	photo	0	3	348527227253694464	0	3	Sat Jun 22 19:45:41 +0000 2013	http://t.co/yefvWVQVGp	RT @rmillerwebster: @pamselle @corey_latislaw giving awesome talk proposing feminist model 4 #opensource @WriteSpeakCode #WriteSpeakCode ht…
Sun Jun 23 19:55:42 +0000 2013	348892136298647552	pamasaur	0	0	1	348438142648451073	2	1	Sat Jun 22 13:51:41 +0000 2013	0	RT @pamasaur: Datastorming: Coming up with good projects in open data - http://t.co/IEzYtC5d21
Sun Jun 23 19:54:24 +0000 2013	348891810082455552	CodeMontage|corey_latislaw|WriteSpeakCode	0	0	3	348527515813437440	0	3	Sat Jun 22 19:46:49 +0000 2013	0	RT @CodeMontage: .@corey_latislaw emphasizes warmth in #opensource: It's not all that time consuming to make respectful template emails! @W…
Sun Jun 23 19:54:01 +0000 2013	348891715706421248	pamasaur|WriteSpeakCode	0	0	7	348545102764994560	5	7	Sat Jun 22 20:56:42 +0000 2013	0	RT @pamasaur: Slides from our @WriteSpeakCode talk today are up: http://t.co/XLRdGvxIXe
Sun Jun 23 19:53:32 +0000 2013	348891592532295680	geekgirlweb|WriteSpeakCode|CoderDojoNYC	0	0	2	348550941508788224	0	2	Sat Jun 22 21:19:54 +0000 2013	0	RT @geekgirlweb: .@WriteSpeakCode ladies, come tomorrow to @CoderDojoNYC and teach kids HTML &amp; CSS! :) http://t.co/3ZZfT43rL1 #writespeakco…
Sun Jun 23 19:53:15 +0000 2013	348891522357399554	WriteSpeakCode	0	0	1	348557071442124801	0	1	Sat Jun 22 21:44:16 +0000 2013	0	RT @WriteSpeakCode: Thank you to all of our speakers and volunteers for a great conference! #WriteSpeakCode
Sun Jun 23 19:52:35 +0000 2013	348891353763155968	DonorsChoose	0	0	59	343482776483397632	24	59	Sat Jun 08 21:40:50 +0000 2013	0	RT @DonorsChoose: "The best way to predict your future is to create it." -Abraham Lincoln
Sun Jun 23 19:51:45 +0000 2013	348891143397847040	allirense|WriteSpeakCode	0	0	5	347813263540641793	3	5	Thu Jun 20 20:28:38 +0000 2013	0	RT @allirense: "A 'no' is only a catastrophe if you see it as the end of a conversation." #WSC @WriteSpeakCode
Sat Jun 22 13:52:18 +0000 2013	348438298785615872	corey_latislaw|bryanwoods|WriteSpeakCode|goruco|fhwang	0	0	1	348158604819443712	1	1	Fri Jun 21 19:20:54 +0000 2013	0	RT @corey_latislaw: @bryanwoods Absolutely! I love this format and hope it can be scaled to the rest of the country/world. @WriteSpeakCode …
Sat Jun 22 13:51:42 +0000 2013	348438148377878529	WriteSpeakCode|fhwang	0	0	3	348159637784248321	0	3	Fri Jun 21 19:25:00 +0000 2013	0	RT @WriteSpeakCode: .@fhwang Choosing a tech conference program is about adding to the discourse in the community. So we look &amp; listen for …
Sat Jun 22 13:51:21 +0000 2013	348438058326163458	WriteSpeakCode	0	0	1	348160413210378242	0	1	Fri Jun 21 19:28:05 +0000 2013	0	RT @WriteSpeakCode: Q: What about daycare at conferences?
Sat Jun 22 13:51:07 +0000 2013	348437997827522561	WriteSpeakCode	0	0	1	348160910151532544	0	1	Fri Jun 21 19:30:04 +0000 2013	0	RT @WriteSpeakCode: Gloria W.: PyGotham offered. If more people push for it, you’ll see it offered by more places.
Sat Jun 22 13:50:36 +0000 2013	348437871260213248	WriteSpeakCode	0	0	1	348160735362285568	1	1	Fri Jun 21 19:29:22 +0000 2013	0	RT @sarahesheehan: @WriteSpeakCode  are you an annual conference? Missed this year but love what you’re doing!
